column_a,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Airborne Hours,7.752566683861092,7.875217805832264,8.011161322835687,8.166800192276877,8.242893150506147,8.096275540723484,7.666690198293174,7.513405770899625,8.259433707865169,8.210737142165128,8.752178751253263,10.210931931575196,10.690213282628118,9.972946494965829,10.261306293439969,10.495164827263903,10.420079307858689,10.030385248600593,10.107853312575678,9.66395604715895,9.178059290645221
Departures,4.8295505599281165,4.760890291613242,4.809166990243137,4.76860995623171,4.713980406711639,4.565878537921481,4.209886420682731,4.007765041943882,3.7820494382022476,3.97315248679516,4.038617057611582,4.16635112259444,4.213568990401136,3.97197861215047,4.113745279126599,4.039076823525183,3.822566690699351,3.4872176489957196,3.4429308654788673,3.30733470321631,3.3672589966420223
Traffic,,,,,,,,,,,,,,,,,,,,,
Block Hours ,1114875,1144173,1160935,1159225,1219822,1251742,1175233,991704,1000994,1053122,940179,948700,930107,843979,644530,582167,576215,759767,698859,662363,636860
Airborne Hours,931812,958162,969695,968411,1010521,1028648,977411,831163,918862,881398,794374,916860,933277,844918,646647,583888,578106,761557,701202,663131,636838
Departures,580483,579248,582116,565457,577901,580104,536710,443355,420753,426506,366557,374105,367853,336510,259240,224710,212076,264767,238843,226946,233644
RPMs,34532235000,36831941000,37527616000,38499368000,39365256000,39508133000,37465421000,32780856678,35497906132,38488141077,36975452060,37882535514,36957512698,33422313671,26400345213,24848149389,25315632114,31888909322,30221115334,29547567311,28423970064
ASMs,51054514000,52899290000,53954505000,54894989000,57675637000,56753139000,53962804000,46012114200,47095489780,49513446750,45753647889,46338790494,44761446708,40677451356,32266751052,29928735966,29972381436,38386996444,35799812586,34595796112,33226769546
Miles,401510305,414535134,419974756,419764630,439361183,444981631,425713355,363368085,371588253,386583608,349186347,352220970,340752609,308465451,239878261,223507104,223616760,295036339,272689062,255325000,241168236
Gallons,1026301421,1066688619,1071180655,1058185737,1097702604,1138703961,1041841612,804542288,719084191,795864053,719039213,717106308,695146747,625325920,489635018,452003458,449302985,580217102,535828758,506014602,483020605
Aircraft Days,120194,121668,121043,118579,122593,127052,127488,110624,111250,107347,90763,89792,87302,84721,63018,55634,55480,75925,69372,68619,69387
Large Narrowbodies,900878,1030469,1131705,1094020,1077047,1141806,1341762,1327151,1121529,1307937,1436505,1607203,1681180,2213521,1578611,1813373.85,1969643.83,6626827,6815820.949999999,6637264.640000001,5536063.42
Pilots (000),220860,241915,278667,286079,294222,310944,341755,363655,235633,234496,204574,219889,219742,222272,236153,233936.02999999997,203245.77000000002,786178,1030155.3499999999,1215164.7,1250235.8499999999
Salaries and Wages (000),168109,184523,218108,214222,219092,227228,226826,230788,141146,141150,132139,142916,142880,141509,145867,149355.46,143509.04,524711,705752.49,814912.65,869982.68
Pilot Training (000),9579,7964,9618,7946,9301,8862,8983,9137,6447,5147,3545,2725,4185,3613,4335,3089.78,3255.42,3566,4874.6900000000005,25312.689999999995,39518.96
Benefits and Payroll Taxes (000),31231,34698,34077,45451,45725,54893,85129,105558,75480,74916,55108,58055,55612,59736,68861,64601.259999999995,41984.880000000005,222111,247132.53,262141.59,275727.94999999995
Per Diem/ Personnel (000),11941,14730,16864,18460,20104,19961,20817,18172,12560,13283,13782,16193,17065,17414,17090,16889.53,14496.429999999998,35790,72395.64,112797.76999999997,65006.259999999995
Purchased Goods (000),218432,279786,283085,258171,253350,335824,346434,307959,327994,486361,716991,891709,867528,1349813,669993,904394.78,1045457.3099999999,4019326,3842372.02,3642808.1100000003,2463934.23
Fuel/Oil (000),193812,241649,246809,223000,214343,295505,316068,274090,298541,451427,678081,847468,828809,1304891,634788,865407.02,1008387.07,3892227,3712043.23,3512325.91,2307337.51
Insurance (000),4532,3894,2681,1749,1534,1783,3371,6965,3549,2335,1484,1697,1180,588,801,1007.22,797.22,11777,2847.0299999999997,2585.7400000000002,2902.9299999999994
Other (inc. Tax) (000),20088,34243,33595,33422,37473,38536,26995,26904,25904,32599,37426,42544,37539,44334,34404,37980.54,36273.02,115322,127481.76000000001,127896.46,153693.78999999998
Maintenance (000),180697,232645,290152,282392,296583,285199,371950,393792,368502,415120,354892,338068,429831,467342,484634,482942.83,527907.68,1100862,1096451.7800000003,1011230.8600000001,1093466.57
Labor (000),27595,43176,48463,49986,48698,46835,62660,76088,49805,36386,28625,34180,33249,35870,81346,142767.72999999998,39916.2,101416,113968.35999999999,109675.78,137414.21999999997
Materials (000),41380,45747,65576,50083,66953,60512,73452,74211,92201,80484,47688,49877,76872,88678,98068,62018.05,106517.28,183172,152802.84,107801.67,98664.31999999999
Third Party (000),17497,15916,22340,27167,28250,29264,34995,39616,39084,141447,179490,126760,178363,195479,139571,127629.19,210508.91999999998,475496,528750.56,483047.80999999994,545403.97
Total Direct (000),84414,104839,136379,127236,143901,136611,169453,189915,179828,258317,243597,210817,288484,320027,318985,332414.97,356942.36,760084,790141.0599999999,697984.2700000001,765637.2600000001
Burden (000),96283,127806,153773,155156,152682,148588,202497,203877,188674,156803,111295,127251,141347,147315,165649,150527.88,170965.31,340778,306310.73000000004,313246.54,327829.35
Aircraft Ownership (000),278648,274540,276023,262409,230634,225576,277118,258862,189416,166973,152220,156144,162325,172931,187588,179418.85,141833.75,417338,384744.44,360192.23,290663.26
Rentals (000),191364,186654,189447,159626,150276,154276,176459,168942,99202,84195,63695,96784,94062,101301,95763,95624.89,96107.04000000001,372438,340948.87,320639.97,249970.97999999998
Depreciation and Amortization (000),87284,87886,86576,102783,80358,71300,100659,89920,90214,82778,88525,59360,68263,71630,91825,83793.95999999999,45726.70999999999,44900,43795.57,39552.26,40692.280000000006
Other (000),2241,1583,3778,4969,2258,-15737,4505,2883,-16,4987,7828,1393,1754,1163,243,12681.360000000015,51199.320000000065,303123,462097.35999999935,407868.74,437763.51000000024
Indicies,,,,,,,,,,,,,,,,,,,,,
Aircraft In Fleet,88,89.60928961748634,92.13972602739726,95.64931506849315,97.87671232876713,98,97.83287671232877,97.0054794520548,96.41643835616438,96.94535519125684,96.88219178082191,97,97,96.97260273972603,96.66849315068494,96.26027397260275,95.4931506849315,336.0109289617486,351.75068493150684,350.3945205479452,351.1506849315069
Seats Per Departure,187.95099605590423,187.934538720126,187.94906413518385,187.95734103528213,186.48988958377424,181.9699943531776,181.9827098254326,181.99793748299436,181.99753278852685,181.55837877092262,171.61860602138947,171.46738386182184,170.85745265347927,170.15275504818817,170.77781344938717,171.39673598402987,170.52382134328494,166.98452941723042,166.7035701976107,166.36623145257815,168.60048734157758
Average Stage Length,1405.5662504046538,1409.8325643334083,1401.0981547196593,1311.4685582578286,1281.386158280106,1365.2517403478128,1382.927417938455,1347.7995777298388,1362.8853935343902,1405.9540390762422,1400.6610157257956,1448.6315172970299,1444.9304075292566,1445.6038883541867,1370.6374966385074,1410.8372307348588,1440.6212176259926,1490.9072932856145,1517.8908478215658,1518.1904739259599,1496.006823866534
Gallons of Fuel Per Block Hour,1049.5155085349973,1053.3647459146093,1052.524522345727,1050.1405598015638,1049.5284952921038,1072.825178676673,1106.3265139661085,1104.759408964213,1013.4213538957905,1065.2075732695037,1043.9299627568403,1022.2854393367385,1004.0503491780331,1006.8404233204195,1014.8125438531323,1034.012037037037,1042.5045812339747,941.5398166169522,941.4445366946899,923.3542312369145,904.0469388789278
Load Factor,0.6778385575817718,0.6855938911286462,0.6969235826234099,0.7134939593704239,0.711822510685776,0.7255979974606018,0.7053140898642761,0.7117906334395966,0.7616678847249607,0.7745687653933603,0.8105465708375201,0.8085206398930996,0.8263841177766853,0.825741939581082,0.8432505523385295,0.8592288342901958,0.8787858619623334,0.8424199089286927,0.8515466636203678,0.8524565110835193,0.8574469562376872
Daily Utilization per Aircraft,,,,,,,,,,,,,,,,,,,,,
Block Hours ,10.567434620174346,10.88712382230082,11.13359697897773,11.37445577451879,11.234345696291111,10.83280361324858,10.093925901033353,9.960431553082723,9.124318026824279,10.125979369821318,10.691024263333523,11.446688320858634,10.956390340347408,10.464896171775674,10.30010769753996,10.389639960153692,9.600516425190072,10.323491624654416,10.141164741527701,10.262592459380425,10.469641881875633
Airborne Hours,9.361301369863014,9.63560691526664,9.850673485772056,9.97946264894592,9.766550034989502,9.42090442734471,8.848693606653784,8.713474736633998,8.377045919527166,7.430274505383011,9.389938351903174,11.162349950571954,10.982149413924587,10.498912275745163,10.33612969051128,10.41166927565106,9.645043752689714,10.326174987802895,10.13506608821628,10.26231097627723,10.470266052898493
Departures,3.173692403486924,3.251272982284965,3.351669590556332,3.603918423464711,3.593561931420574,3.256022080963533,3.029516368422527,3.076651509588499,2.776682200500114,2.9801589538357476,3.1343532605621856,3.255218189521254,3.0820788024290353,2.9354428591608985,3.0563144768166874,3.05740714387363,2.7638789269832165,2.8513986013986017,2.7713121840656134,2.7951428526748714,2.8915580869158144
Traffic,,,,,,,,,,,,,,,,,,,,,
Block Hours ,339426,357065,374434,397105,401347,388551,360444,352669,321103,359290,378056,405270,387911,370405,363429,365040,334626,1269583,1302014,1312524,1341894
Airborne Hours,300685,316019,331288,348403,348910,337909,315978,308518,294805,263641,332047,395203,388823,371609,364700,365814,336178,1269913,1301231,1312488,1341974
Departures,101939,106632,112720,125820,128380,116787,108181,108935,97717,105742,110837,115251,109121,103900,107839,107422,96335,350665,355806,357482,370611
RPMs,18254191000,19369956000,20686874000,22128764000,21837575000,21052472000,19202734000,19020042752,18461228902,20907154094,21595344989,23145963548,22262357719,21103193628,21285631717,22319349639,20797063901,73544113815,76666769255,76969355916,80152665315
ASMs,26929998000,28252813000,29683131000,31014648000,30678399000,29013961000,27225791000,26721400730,24237898528,26991992226,26642941647,28627548149,26939479160,25556645020,25242357278,25976024952,23665678752,87301015842,90032375829,90291240568,93478278431
Miles,143282018,150333266,157931784,165008974,164504355,159443655,149606471,146822547,133177072,148668392,155245065,166956231,157672251,150198244,147808177,151554957,138782245,522809006,540074671,542725767,554436585
Gallons,356232851,376119683,394100967,417016067,421225113,416847296,398768754,389614396,325412637,382718429,394663986,414301620,389482175,372938727,368812308,377455754,348849138,1195362945,1225773967,1211924589,1213135163
Aircraft Days,32120,32797,33631,34912,35725,35868,35709,35407,35192,35482,35362,35405,35405,35395,35284,35135,34855,122980,128389,127894,128170
Widebodies,2873557,3135415,3275725,3222970,3204827,3817373,3725005,3535081,2898261,3210999,3707720,4014907,4232577,5774390,3509225,4231365.430000001,4895833.62,7355226,7045375.380000001,7158573.3500000015,5930869.370000001
Pilots (000),557031,636748,750350,830016,831683,910212,1014722,1046322,676739,590706,464317,456025,476877,529299,524864,510086.27999999997,467406.52,850286,897037.9199999999,1098421.48,1117186.53
Salaries and Wages (000),432577,496227,603479,638217,633396,674209,684847,679437,387439,355929,300528,301099,315330,341247,326187,327610.63999999996,335234,577135,612913.2899999999,736201.2500000001,776579.4400000001
Pilot Training (000),20517,17668,21389,20601,25290,25804,30837,28822,16744,11444,8018,6155,7241,7952,10359,6870.52,8539.000000000002,11528,16484.63,24410.739999999994,39720.90000000001
Benefits and Payroll Taxes (000),75511,91978,91008,133112,130641,165391,258558,302177,242312,189387,125244,117687,118200,141272,151860,138909.27,89863.04999999999,173957,207323.61,236447.46,243483.65000000002
Per Diem/ Personnel (000),28426,30875,34474,38086,42356,44808,40480,35886,30244,33946,30527,31084,36106,38828,36458,36695.85,33770.47000000001,87666,60316.39,101362.03000000001,57402.54000000001
Purchased Goods (000),862880,1033817,1025753,883567,873521,1230348,1225014,1021969,1010187,1450077,2035587,2401633,2588234,4094364,1871193,2597127.9000000004,3196037.19,4838248,4476052.85,4339627.34,2986220.9000000004
Fuel/Oil (000),829949,988897,980063,836976,821684,1183038,1159531,944562,943977,1374360,1950803,2315494,2504636,3993223,1806139,2519583.1100000003,3097350.19,4749674,4411251.67,4275456.53,2899576.1300000004
Insurance (000),10198,8645,7366,5654,5056,5966,12044,26043,13721,9374,10734,8914,6559,2972,4041,5179.86,4661.45,4374,2368.0999999999995,1867.5499999999997,1765.2199999999998
Other (inc. Tax) (000),22733,36275,38324,40937,46781,41344,53439,51364,52489,66343,74050,77225,77039,98169,61013,72364.92999999998,94025.55,84200,62433.08,62303.26,84879.54999999999
Maintenance (000),682014,679719,746320,754784,744871,830565,763428,722753,582710,565770,659533,730663,734582,723088,693705,666301.75,753791.44,979534,923961.35,965838.99,1024138.86
Labor (000),143343,128158,120072,134073,136106,147000,152379,127003,86738,72814,58006,50490,58994,59851,109178,180280.25,52009.880000000005,76285,81554.87,94767.72000000003,91568.05000000002
Materials (000),158918,142068,138642,126307,157609,133518,155840,100905,102894,95465,120822,96563,99651,111721,80262,53601.53999999999,111308.57999999999,144088,157458.59,153726.56,147142.11000000002
Third Party (000),61963,95343,152170,156598,151059,150197,167853,142520,139610,188404,227865,325886,312475,291019,287101,242149.03999999998,336207.99,477275,481478.25,500676.69999999995,582746.1499999999
Total Direct (000),364224,365569,410884,402388,381594,430474,381172,370424,294426,318933,399243,472875,470642,462535,476541,476030.81999999995,499526.3,691876,718871.3899999999,748910.34,805417.0499999999
Burden (000),317790,314150,335436,352396,363277,400091,382256,352329,289390,246839,260290,257788,263940,260553,217164,190270.91,254265.15000000002,287658,205090.06,216928.63,218721.91000000003
Aircraft Ownership (000),763786,777144,740445,742414,748008,837304,780398,736010,663267,635329,529800,422348,420355,414975,416147,375281.9,153165.01999999996,254665,256325.28,235929.34999999998,221162.61
Rentals (000),450695,438920,424273,419195,414716,453795,366718,356045,295511,286500,206385,136650,131025,117110,114581,112533.01000000001,111114.10999999997,208715,209987.87,188609.83999999997,166766.31999999998
Depreciation and Amortization (000),313091,338224,316172,323219,333292,383509,413680,379965,367756,348829,323415,285698,289330,297865,301566,262748.89,42050.909999999996,45950,46337.409999999996,47319.51,54396.28999999999
Other (000),7846,7987,12857,12189,6744,8944,-58557,8027,-34642,-30883,18483,4238,12529,12664,3316,82567.60000000044,325433.4499999998,432493,491997.98000000126,518756.1900000012,582160.4700000004
Indicies,,,,,,,,,,,,,,,,,,,,,
Aircraft In Fleet,135.4027397260274,138.8169398907104,145.37808219178083,152.72054794520548,153.14246575342466,156.16666666666666,150.06575342465754,156.2958904109589,149.72602739726028,128.32513661202185,116.92054794520548,117,116.99178082191781,116.08767123287672,112.75342465753425,111.73150684931507,111.0027397260274,153.81967213114754,156.23561643835617,158.84931506849315,167.02739726027397
Seats Per Departure,296.43197327871707,297.65088419165374,294.1245770797167,284.3825251189107,280.05345399506797,279.6479662097987,276.4722644464475,266.0935137752119,260.9090134983387,264.94321705610173,273.20597176493703,272.59948424390143,273.3860041594184,271.3002221848131,269.94942623226063,271.5234563026517,273.1654591456615,267.7097490815921,266.6331372620849,266.6569224524955,265.43406710543763
Average Stage Length,2761.534903801223,2746.2263458074844,2800.4494362532523,2783.188998095375,2771.7970824728677,2889.589587254699,3079.946290076336,2914.879241435563,3016.255938521673,3141.3694766985245,3397.7887943999344,3348.08644390257,3476.022336234788,3671.613791130186,3553.261503168978,3525.262938847721,3724.9364896433576,4186.015199673498,4362.450120128136,4527.821170353923,4577.649636463138
Gallons of Fuel Per Block Hour,2525.0196682323144,2491.683345558216,2460.41309567378,2384.5019764787517,2317.1715717354127,2279.8416315621794,2179.7435983683836,2104.714337323322,1737.3088699952682,2160.029264847512,2243.774730407055,2235.2736840277175,2265.889867558791,2206.762694964476,2174.951728005918,2216.4291409909415,2212.576030312552,2121.623440434496,2171.287278282399,2159.3988087154203,2129.5118676180336
Load Factor,0.7324566775388683,0.7405362968811444,0.7395621593427605,0.7262514539858953,0.7275066650235004,0.739737541519723,0.7167909808504868,0.7575376114062358,0.7731569321080728,0.8106042327700579,0.8203601740316085,0.8285982241449649,0.8288241523273732,0.797641935639198,0.8092992099314682,0.8386468929509363,0.8192134080846798,0.8162871234929644,0.8224602512831714,0.8127046011513134,0.8047953628127663
Daily Utilization per Aircraft,,,,,,,,,,,,,,,,,,,,,
Block Hours ,11.53652219659261,11.37748735410475,11.48316152497974,11.685969538776169,11.93564949818416,11.861644243049845,11.560904808850914,10.529203477773104,9.590192131747484,11.606553537590223,12.066337051270034,12.135089567966281,12.410917521427567,12.450014160294534,12.087279795893572,12.275881516355254,12.096307631552966,12.247948417350528,11.651088976957878,11.683684028975508,11.618371196588205
Airborne Hours,10.697401966735463,10.534217725903911,10.631815012343816,10.787758104156575,10.96359375279532,10.895585842503982,10.702066673969401,9.662792735941665,8.150759377859103,10.795303085144889,10.9073718249133,11.992038402997308,12.429160226687273,12.460115170395543,12.119037783987364,12.236452356431759,12.149323723960904,12.255817258161924,11.64730123101743,11.708192480165573,11.650012302140572
Departures,1.9918659706203716,1.967051784202964,1.955599947232535,1.9968067739447104,2.0357979855806216,1.9426666899942266,1.7937342534779275,1.7192539615762166,1.51676120768527,1.7621521493814805,1.7138907114068795,1.747757873785271,1.7299189733501943,1.6496743132257152,1.6523630178593123,1.690917561669364,1.5848060025668873,1.4362321929731074,1.313786693788798,1.2738530527768195,1.258853440498647
Traffic,,,,,,,,,,,,,,,,,,,,,
Block Hours ,570158,578056,609331,651411,667167,677976,633237,600670,524104,545125,514943,518229,529971,527532,497452,500635,490094,689535,664415,677420,708314
Airborne Hours,528687,535212,564156,601342,612832,622759,586195,551243,445439,507023,465483,512120,530750,527960,498759,499027,492242,689978,664199,678841,710243
Departures,98442,99940,103770,111308,113795,111037,98250,98080,82891,82763,73142,74638,73871,69900,68003,68959,64210,80857,74920,73858,76746
RPMs,59025266000,60496354000,63212876000,63982175000,64263226000,66373269000,59968033000,57628791617,50435032593,55836336616,55700355602,56445026856,58182879662,55538263463,52789405140,55356543654,53523484289,73964880106,71673280689,72472357668,75048225151
ASMs,80585334000,81692625000,85473378000,88099204000,88333522000,89725430000,83661813000,76073835476,65232594443,68882364980,67897439887,68121105273,70199305243,69628063648,65228539077,66006973995,65335215172,90611352277,87144978225,89174292314,93251314084
Miles,271851019,274457861,290602638,309791201,315416649,320851359,302604723,285891356,250020471,259989162,248521068,249894476,256777246,256645804,241632442,243098607,239178172,338468631,326834763,334415816,351316299
Gallons,1439660164,1440332508,1499205972,1553290817,1545940406,1545677910,1380294297,1264238761,910530528,1177485953,1155416091,1158383646,1200855919,1164137938,1081934087,1109622003,1084370237,1462933619,1442635837,1462819941,1508363069
Aircraft Days,49422,50807,53063,55743,55897,57157,54774,57048,54650,46967,42676,42705,42702,42372,41155,40782,40516,56298,57026,57980,60965
Total Fleet,6100985,6732873,7117586,6996380,7136248,8271680,8519073,7624870,6420887,7076033,7768196,8645539,9052920,11709349,7077529,8233231.19,9401898.45,17526450,17157930.84,16996368.970000003,13876654.490000002
Pilots (000),1361295,1506425,1698275,1805319,1854145,2059896,2355641,2307093,1547333,1381603,1103823,1114533,1131894,1186681,1135638,1073355.9,977009.7599999999,2104098,2475952.0500000007,2918943.5,2956585.8699999996
Salaries and Wages (000),1033299,1149809,1337125,1360762,1386034,1506762,1561213,1473953,899484,841431,706781,721759,733376,757020,700218,685116.23,690040.14,1416313,1687774.0100000002,1958701.7200000002,2059814.4900000002
Pilot Training (000),58331,48020,54845,50584,59906,59829,69741,60790,34500,25884,21816,17063,21180,19498,23330,14006.77,15614.360000000002,18183,30379.47,59596.29999999999,93265.57
Benefits and Payroll Taxes (000),184494,213804,202764,283608,284608,364233,591501,664916,531119,430386,296647,290172,283399,314657,328677,294203.39,198223.52999999997,527165,586822.4299999999,629783.72,650260.9500000001
Per Diem/ Personnel (000),85171,94792,103541,110365,123597,129072,133186,107434,82230,83902,78579,85539,93939,95506,83413,80029.51000000001,73131.73000000001,142437,170976.14,270861.76,153244.86
Purchased Goods (000),1708783,2106185,2081286,1804258,1790126,2528357,2507129,1976724,2108713,2969315,4053790,4842903,5018838,7744449,3415750,4583262.780000001,5586894.8900000015,10820348,10002556.42,9504012.870000001,6429414.11
Fuel/Oil (000),1583459,1914553,1897545,1627202,1595845,2316481,2330634,1793127,1941356,2782546,3857577,4635296,4825987,7522656,3268484,4419609.960000001,5403389.670000001,10535200,9744662.18,9249943.600000001,6120370.71
Insurance (000),22213,17988,14247,9963,9035,10600,22679,49515,26716,17873,17139,14762,11238,5205,6802,8591.75,7358.84,23339,6319.299999999999,5519.18,6011.639999999999
Other (inc. Tax) (000),103111,173644,169494,167093,185246,201276,153816,134082,140641,168896,179074,192845,181613,216588,140464,155061.06999999998,176146.38,261809,251574.94,248550.09,303031.75999999995
Maintenance (000),1477718,1585029,1844196,1891336,2002243,2063581,2084826,1821061,1545420,1563223,1591613,1752408,1939497,1823647,1637329,1680975.09,1917266.45,2810848,2714435.68,2689660.6500000004,2610637
Labor (000),310311,311883,314531,333723,348857,360777,363869,360017,232859,187452,150064,149044,155512,157864,261337,416892.91,126519.51999999999,262921,272771.44,267230.17000000004,298401.02999999997
Materials (000),295447,302609,348137,347947,421767,370004,383360,256504,261170,249744,233010,216684,270601,274008,212039,142008.7,265630.65,403230,368036.66,322422.45,282299.23
Third Party (000),113721,144805,249916,294654,333149,336096,399245,304228,335839,540894,669919,786731,885689,807873,664882,673077.04,969720.22,1335746,1414003.96,1416552.92,1361449.61
Total Direct (000),717405,759297,912584,958224,1038243,1058670,1040226,919377,791526,934188,1030823,1152223,1311206,1236639,1138258,1231978.63,1361870.12,1996121,2046827.1899999997,2003403.8900000001,1910077.9300000002
Burden (000),760313,825732,931612,933112,964000,1004911,1044600,901684,755000,629037,560790,600185,628291,587008,499071,448996.47,555396.3300000001,814727,667608.6000000001,686256.75,700559.27
Aircraft Ownership (000),1538751,1521665,1466284,1463948,1475927,1618830,1627654,1502408,1251966,1179395,977956,925872,946009,937299,884359,775444.06,427140.62,895852,836447,789911.6699999999,696905.25
